ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	is_neuronal_term
GO:0060976	coronary vasculature development	76	0.564214788484931	1.67576024652215	0.000125834333614197	0.00121600655100075	0.000868523054242213	3137	tags=41%, list=15%, signal=35%	15111/12159/21380/14463/16523/20423/14465/17292/67784/22431/11421/20181/30878/106042/214766/12142/13857/207728/22339/76854/58182/18596/23796/50501/15214/18128/20807/17130/18591/12627/16576	FALSE
GO:0001841	neural tube formation	132	0.505313140793061	1.53912174501643	0.000125834333614197	0.00121600655100075	0.000868523054242213	1830	tags=20%, list=8%, signal=19%	21815/238057/16870/12159/21418/22160/14362/11535/18121/54612/20423/16911/20353/22418/58198/57265/216285/107586/18119/17684/18505/106042/99377/24136/20997/244058/19401	FALSE
GO:0045619	regulation of lymphocyte differentiation	215	0.460520412891314	1.42945737694467	0.000125834333614197	0.00121600655100075	0.000868523054242213	4503	tags=33%, list=21%, signal=26%	15284/12159/14462/15902/13655/12192/12578/16147/232174/12484/12193/230126/16453/12479/66993/15507/20423/22410/16153/67122/74039/15223/20677/12703/81897/207952/17131/12399/14456/17242/20667/14190/12142/12522/269023/19401/16159/74048/230738/12394/17387/15354/17173/328365/74748/16362/16190/83430/234695/235320/21414/11774/12053/11486/22724/21950/14204/30936/16193/19373/320404/15977/20668/20535/21803/229473/14357/11461/19885/16923	FALSE
GO:0030513	positive regulation of BMP signaling pathway	40	0.674258251217596	1.92945875447075	0.000128101558114849	0.00123101311422633	0.00087924137324768	3109	tags=50%, list=14%, signal=43%	15205/17701/15229/12159/16007/14463/20666/241324/14465/15208/105083/94187/268935/74048/68431/17702/16542/18128/11482/333088	FALSE
GO:0060443	mammary gland morphogenesis	59	0.591846902937285	1.72819787278029	0.000128101558114849	0.00123101311422633	0.00087924137324768	4399	tags=47%, list=20%, signal=38%	21385/12159/244813/12578/66042/19773/21386/22417/22418/12977/21420/14633/18505/19227/17702/16011/13710/11839/13836/19206/15235/18208/22337/18612/12389/104156/21803/12391	FALSE
GO:0071407	cellular response to organic cyclic compound	484	0.409922650867519	1.30262125728634	0.000128101558114849	0.00123101311422633	0.00087924137324768	5363	tags=34%, list=25%, signal=26%	20471/12918/21412/15375/15903/18996/12159/18997/12192/16324/15227/723960/64406/12193/353310/13115/73181/17927/16392/22410/18095/20583/13491/14573/12156/12606/268709/13078/15550/13653/15551/12703/15364/81897/18035/13488/18119/223864/74747/20605/20181/11826/12390/16509/225872/14687/14633/51788/13492/224129/14602/19736/20608/16323/233571/330953/207728/12064/18196/20602/16535/18124/230738/20606/100499517/16533/19216/353342/67792/14228/20512/21817/11298/22695/76854/17702/16011/328365/11682/17125/17928/98660/19712/11651/17700/18591/68312/18795/217124/111174/11865/14555/22350/26381/12576/56506/20511/67488/77889/15166/14106/19206/118445/433938/15165/56198/19049/20541/67017/11928/381290/442846/22337/18126/74191/13435/18441/11647/70584/15977/12389/17260/20276/14683/723952/108655/21803/18712/12919/319757/228545/11461/19885/12953/67917/74551/231070/20846/114479/170826/30955/14159/268903/12373/238803/74777/15567/17390/104111/20377/13829/16439/26941/12367/13685/57028/16438/78781/19060/67749/14599/67731/14681/18125/26380/20609	FALSE
GO:0060973	cell migration involved in heart development	19	0.774653442561821	2.06133187355219	0.000130368783663072	0.00124816039173719	0.00089148868048744	2691	tags=58%, list=12%, signal=51%	18741/15111/12159/22160/13614/20583/17292/71436/18596/234593/18128	FALSE
GO:0002088	lens development in camera-type eye	90	0.554214218333205	1.65788479384563	0.000130368783663072	0.00124816039173719	0.00089148868048744	5719	tags=53%, list=26%, signal=39%	12159/21418/20674/14462/12958/20473/24064/20475/20666/22352/24063/20664/14184/12954/12968/12577/18508/17684/18742/12969/24136/17132/14609/29815/214301/30923/15258/13836/12075/12576/19130/17127/12962/58235/12965/21803/21812/12955/21916/12961/12967/14107/239250/195727/329581/20481/12966/12970	FALSE
GO:0045581	negative regulation of T cell differentiation	54	0.609204116084559	1.77486692187431	0.000132636010205156	0.00126751972783855	0.000905315933066809	2427	tags=37%, list=11%, signal=33%	15284/12159/12578/16147/16453/15507/20423/67122/15223/12703/17131/12399/17242/14190/269023/230738/12394/17173/16362/16190	FALSE
GO:2000678	negative regulation of transcription regulatory region DNA binding	17	0.733108881023951	1.9350787257472	0.000134903237690998	0.00128207672585011	0.000915713153676512	2716	tags=53%, list=13%, signal=46%	17701/16870/15902/15110/20666/15213/17702/15214/19712	FALSE
GO:0048854	brain morphogenesis	44	0.618067233567359	1.78351200311515	0.000134903237690998	0.00128207672585011	0.000915713153676512	1387	tags=23%, list=6%, signal=21%	18423/238057/20674/18424/14843/14179/13796/22418/214593/15242	FALSE
GO:0071560	cellular response to transforming growth factor beta stimulus	236	0.458057208762068	1.42740531093589	0.000134903237690998	0.00128207672585011	0.000915713153676512	5951	tags=44%, list=28%, signal=32%	13390/12579/21869/22408/12192/12193/12741/20682/353310/24064/14281/434215/24063/76905/16476/56320/14573/12156/68939/107586/21825/12705/12577/68010/18119/17131/17684/15379/65112/12390/225631/24136/26401/108075/77794/22793/60406/12394/80288/26356/328365/20289/17125/12827/70673/241593/17130/14360/15258/11482/17700/246154/56213/100044509/100952/171463/15587/17826/78558/14106/58250/17127/18127/19303/20296/12389/17260/16419/27528/21803/278507/21812/216190/16948/16963/12843/12391/12163/20678/107765/16998/170676/80707/12683/21808/69260/20869/21804/21809/23939/21814/80859/20481/214425/105352/19272/14118/12164/16971/56306/66513/16420/17283	FALSE
GO:0048712	negative regulation of astrocyte differentiation	20	0.732079316463136	1.95681945585771	0.000137170466073809	0.00129647405777257	0.000925996334045845	894	tags=35%, list=4%, signal=34%	18109/18121/21907/15904/15208/14184/15364	FALSE
GO:0035886	vascular associated smooth muscle cell differentiation	40	0.673052516532164	1.92600842169369	0.000137170466073809	0.00129647405777257	0.000925996334045845	2987	tags=50%, list=14%, signal=43%	15205/18741/11535/73181/14465/17292/12845/18018/54409/22339/76854/11537/18596/23796/50501/15214/18128/20807/17130/18591	FALSE
GO:0050890	cognition	363	0.43252057294121	1.36830348148605	0.000137170466073809	0.00129647405777257	0.000925996334045845	5064	tags=36%, list=23%, signal=28%	21375/12918/13798/64378/18121/16402/21983/15394/329934/11555/11554/73181/22226/11838/99296/13491/16875/16476/268709/20620/21333/14371/16917/18014/20897/18227/13653/20287/214230/78405/18508/19224/53324/11438/12444/19088/13488/18211/223864/13380/18389/16002/64290/104027/225872/13492/109857/17242/18049/320974/18574/12064/12227/12667/12097/225870/23829/13166/12424/12096/353342/13167/232333/18430/76898/12647/18205/21960/14652/319984/24088/234593/29813/98660/20807/545156/17754/18216/18795/66259/14812/54720/76574/18032/76376/22142/20983/51791/12801/11444/208188/19242/110648/18013/19049/13844/57138/17536/66860/192653/19373/20528/11606/216963/17260/14683/16777/245537/11816/320127/64085/12921/26889/12010/72961/268934/210274/15466/21823/12288/15565/14918/15567/76071/57340/104111/14790/232813/11539/12307/58234/12367	FALSE
