gene	source	is_derived	is_external	k119ub_ctrl_signal	k119ub_log2fc	k119ub_decile
Alms1	both	TRUE	TRUE	0.435228	-0.087051	1
Alox5	both	TRUE	TRUE	1.153421	-0.239762	6
Aloxe3	both	TRUE	TRUE	1.168944	0.240803	7
Als2	both	TRUE	TRUE	0.795127	-0.107846	4
Alx1	both	TRUE	TRUE	3.921858	-0.421933	10
Ambra1	both	TRUE	TRUE	0.641698	-0.186474	3
Amfr	external	FALSE	TRUE	0.799769	0.093031	4
Amigo1	both	TRUE	TRUE	2.374272	0.023279	9
Amigo2	both	TRUE	TRUE	4.436008	0.263133	10
Amigo3	both	TRUE	TRUE	1.14204	-0.146228	6
Amot	external	FALSE	TRUE	1.015385	0.224435	6
Amph	both	TRUE	TRUE	0.991885	0.249086	6
Anapc2	both	TRUE	TRUE	0.724478	0.024407	4
Anapc7	both	TRUE	TRUE	0.493354	-0.145741	2
Ang	both	TRUE	TRUE	2.951078	0.534846	10
Angpt1	both	TRUE	TRUE	1.452042	-0.054814	8
Ank3	both	TRUE	TRUE	1.12649	0.264246	6
Ankfn1	both	TRUE	TRUE	0.611227	-0.337355	3
Ankle2	both	TRUE	TRUE	NA	NA	NA
Ankrd1	both	TRUE	TRUE	1.805911	-0.145182	8
Ankrd11	external	FALSE	TRUE	0.714616	-0.175767	4
Ankrd24	both	TRUE	TRUE	0.96741	0.365811	5
Ankrd27	both	TRUE	TRUE	0.575357	-0.066771	2
Anks1	both	TRUE	TRUE	2.003848	-0.258779	9
Anks1b	both	TRUE	TRUE	0.924903	0.073639	5
Ano1	both	TRUE	TRUE	1.38826	-0.061203	7
Ano6	both	TRUE	TRUE	0.936161	0.016913	5
Ano9	external	FALSE	TRUE	1.209162	-0.15291	7
Anp32b	both	TRUE	TRUE	0.86092	0.088468	5
Anxa1	derived	TRUE	FALSE	0.787478	-0.417193	4
Anxa2	both	TRUE	TRUE	1.434476	-0.257674	7
Anxa3	external	FALSE	TRUE	0.650869	-0.389787	3
Anxa7	both	TRUE	TRUE	0.63641	0.359146	3
Anxa9	external	FALSE	TRUE	0.774305	-0.315636	4
Ap1s2	both	TRUE	TRUE	0.79781	0.163369	4
Ap2a1	both	TRUE	TRUE	0.559757	-0.360162	2
Ap2a2	both	TRUE	TRUE	0.601318	-0.395291	3
Ap2b1	both	TRUE	TRUE	0.480922	-0.283175	2
Ap2m1	both	TRUE	TRUE	0.909845	-0.283306	5
Ap2s1	both	TRUE	TRUE	0.330503	-0.099998	1
Ap3b1	both	TRUE	TRUE	2.057734	0.315618	9
Ap3b2	both	TRUE	TRUE	0.952072	-0.252439	5
Ap3d1	both	TRUE	TRUE	0.859538	-0.311384	5
Ap3m1	both	TRUE	TRUE	0.715484	0.232849	4
Ap3m2	both	TRUE	TRUE	0.924678	0.411396	5
Ap3s1	both	TRUE	TRUE	0.574322	0.213745	2
Ap3s2	both	TRUE	TRUE	0.492005	-0.33956	2
Ap4b1	both	TRUE	TRUE	0.611329	0.783684	3
Ap5z1	external	FALSE	TRUE	1.224031	0.002075	7
Apaf1	both	TRUE	TRUE	0.839461	0.227788	5
Apba1	both	TRUE	TRUE	1.485602	0.201912	8
Apba2	both	TRUE	TRUE	0.968678	0.004885	5
Apba3	both	TRUE	TRUE	0.869073	0.293264	5
Apbb1	both	TRUE	TRUE	0.959404	0.053146	5
Apbb2	both	TRUE	TRUE	1.48232	0.087602	8
Apc	both	TRUE	TRUE	0.64173	-0.146317	3
Apc2	both	TRUE	TRUE	1.928217	-0.235171	9
Apcdd1	both	TRUE	TRUE	2.458811	0.142492	9
Aph1b	both	TRUE	TRUE	0.826057	0.285012	5
Aph1c	both	TRUE	TRUE	0.937355	0.232843	5
Aplp1	both	TRUE	TRUE	1.129918	-0.02031	6
Aplp2	both	TRUE	TRUE	0.610482	-0.208317	3
Apoa4	external	FALSE	TRUE	1.396869	-0.049992	7
Apob	both	TRUE	TRUE	1.327352	-0.226498	7
Apod	external	FALSE	TRUE	1.003245	-0.055827	6
Apoe	both	TRUE	TRUE	1.845909	-0.120039	9
App	both	TRUE	TRUE	1.443437	0.214768	8
Appl1	both	TRUE	TRUE	0.454191	0.00651	2
Appl2	both	TRUE	TRUE	1.832973	-0.090992	9
Aqp1	both	TRUE	TRUE	3.367756	-0.082895	10
Aqp4	both	TRUE	TRUE	1.287667	-0.510727	7
Arc	both	TRUE	TRUE	5.263268	0.124749	10
Arcn1	both	TRUE	TRUE	0.346489	-0.34895	1
Areg	both	TRUE	TRUE	2.379272	0.095182	9
Arf1	both	TRUE	TRUE	0.543019	-0.3186	2
Arf4	both	TRUE	TRUE	0.418772	0.172057	1
