GOID	TERM	n_mouse_genes
GO:0099505	regulation of presynaptic membrane potential	5
GO:0099552	trans-synaptic signaling by lipid, modulating synaptic transmission	5
GO:0099553	trans-synaptic signaling by endocannabinoid, modulating synaptic transmission	5
GO:0099576	regulation of protein catabolic process at postsynapse, modulating synaptic transmission	5
GO:0110091	negative regulation of hippocampal neuron apoptotic process	5
GO:0150099	neuron-glial cell signaling	5
GO:1901628	positive regulation of postsynaptic membrane organization	5
GO:1902474	positive regulation of protein localization to synapse	5
GO:1902669	positive regulation of axon guidance	5
GO:1902803	regulation of synaptic vesicle transport	5
GO:1903860	negative regulation of dendrite extension	5
GO:1904340	positive regulation of dopaminergic neuron differentiation	5
GO:1904457	positive regulation of neuronal action potential	5
GO:1904956	regulation of midbrain dopaminergic neuron differentiation	5
GO:1905702	regulation of inhibitory synapse assembly	5
GO:1990926	short-term synaptic potentiation	5
GO:2000301	negative regulation of synaptic vesicle exocytosis	5
GO:2000302	positive regulation of synaptic vesicle exocytosis	5
GO:2000520	regulation of immunological synapse formation	5
GO:0007412	axon target recognition	4
GO:0014012	peripheral nervous system axon regeneration	4
GO:0015842	aminergic neurotransmitter loading into synaptic vesicle	4
GO:0016080	synaptic vesicle targeting	4
GO:0016189	synaptic vesicle to endosome fusion	4
GO:0021773	striatal medium spiny neuron differentiation	4
GO:0030886	negative regulation of myeloid dendritic cell activation	4
GO:0032226	positive regulation of synaptic transmission, dopaminergic	4
GO:0032227	negative regulation of synaptic transmission, dopaminergic	4
GO:0032286	central nervous system myelin maintenance	4
GO:0032290	peripheral nervous system myelin formation	4
GO:0033563	dorsal/ventral axon guidance	4
GO:0036145	dendritic cell homeostasis	4
GO:0048690	regulation of axon extension involved in regeneration	4
GO:0048790	maintenance of presynaptic active zone structure	4
GO:0051835	positive regulation of synapse structural plasticity	4
GO:0061642	chemoattraction of axon	4
GO:0097026	dendritic cell dendrite assembly	4
GO:0097029	mature conventional dendritic cell differentiation	4
GO:0097118	neuroligin clustering involved in postsynaptic membrane assembly	4
GO:0097476	spinal cord motor neuron migration	4
GO:0097491	sympathetic neuron projection guidance	4
GO:0098749	cerebellar neuron development	4
GO:0140246	protein catabolic process at synapse	4
GO:0150062	complement-mediated synapse pruning	4
GO:0150098	glial cell-neuron signaling	4
GO:1902685	positive regulation of receptor localization to synapse	4
GO:1902897	regulation of postsynaptic density protein 95 clustering	4
GO:1903381	regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway	4
GO:1904071	presynaptic active zone assembly	4
GO:1904339	negative regulation of dopaminergic neuron differentiation	4
GO:1904456	negative regulation of neuronal action potential	4
GO:2000527	regulation of myeloid dendritic cell chemotaxis	4
GO:2000529	positive regulation of myeloid dendritic cell chemotaxis	4
GO:2000670	positive regulation of dendritic cell apoptotic process	4
GO:2000673	positive regulation of motor neuron apoptotic process	4
GO:2000978	negative regulation of forebrain neuron differentiation	4
GO:2001200	positive regulation of dendritic cell differentiation	4
GO:0002273	plasmacytoid dendritic cell differentiation	3
GO:0002277	myeloid dendritic cell activation involved in immune response	3
GO:0002605	negative regulation of dendritic cell antigen processing and presentation	3
GO:0007529	establishment of synaptic specificity at neuromuscular junction	3
GO:0008039	synaptic target recognition	3
GO:0021524	visceral motor neuron differentiation	3
GO:0021551	central nervous system morphogenesis	3
GO:0021775	smoothened signaling pathway involved in ventral spinal cord interneuron specification	3
GO:0021776	smoothened signaling pathway involved in spinal cord motor neuron cell fate specification	3
GO:0021827	postnatal olfactory bulb interneuron migration	3
GO:0021852	pyramidal neuron migration to cerebral cortex	3
GO:0031104	dendrite regeneration	3
GO:0036445	neuronal stem cell division	3
GO:0036520	astrocyte-dopaminergic neuron signaling	3
GO:0044565	dendritic cell proliferation	3
GO:0045887	positive regulation of synaptic assembly at neuromuscular junction	3
GO:0048687	positive regulation of sprouting of injured axon	3
GO:0051586	positive regulation of dopamine uptake involved in synaptic transmission	3
GO:0051941	regulation of amino acid uptake involved in synaptic transmission	3
GO:0051944	positive regulation of catecholamine uptake involved in synaptic transmission	3
GO:0060084	synaptic transmission involved in micturition	3
GO:0061884	regulation of mini excitatory postsynaptic potential	3
GO:0061885	positive regulation of mini excitatory postsynaptic potential	3
GO:0097155	fasciculation of sensory neuron axon	3
GO:0097374	sensory neuron axon guidance	3
GO:0097477	lateral motor column neuron migration	3
GO:0098816	mini excitatory postsynaptic potential	3
GO:0098928	presynaptic signal transduction	3
GO:0098958	retrograde axonal transport of mitochondrion	3
GO:0098964	anterograde dendritic transport of messenger ribonucleoprotein complex	3
GO:0099152	regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane	3
GO:0099161	regulation of presynaptic dense core granule exocytosis	3
GO:0099178	regulation of retrograde trans-synaptic signaling by endocanabinoid	3
GO:0099526	presynapse to nucleus signaling pathway	3
GO:0099540	trans-synaptic signaling by neuropeptide	3
GO:0099543	trans-synaptic signaling by soluble gas	3
GO:0099548	trans-synaptic signaling by nitric oxide	3
GO:0099557	trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission	3
GO:0099562	maintenance of postsynaptic density structure	3
GO:0140249	protein catabolic process at postsynapse	3
GO:0140251	regulation protein catabolic process at presynapse	3
GO:0150018	basal dendrite development	3
GO:0150019	basal dendrite morphogenesis	3
GO:0150020	basal dendrite arborization	3
GO:0150054	regulation of postsynaptic neurotransmitter receptor diffusion trapping	3
GO:1900073	regulation of neuromuscular synaptic transmission	3
GO:1900075	positive regulation of neuromuscular synaptic transmission	3
GO:1900453	negative regulation of long-term synaptic depression	3
GO:1901629	regulation of presynaptic membrane organization	3
GO:1902336	positive regulation of retinal ganglion cell axon guidance	3
GO:1903378	positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	3
GO:1903422	negative regulation of synaptic vesicle recycling	3
GO:1903742	regulation of anterograde synaptic vesicle transport	3
GO:1904891	positive regulation of excitatory synapse assembly	3
GO:1904954	canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation	3
GO:1904958	positive regulation of midbrain dopaminergic neuron differentiation	3
GO:1905539	regulation of postsynapse to nucleus signaling pathway	3
GO:1905704	positive regulation of inhibitory synapse assembly	3
GO:2000297	negative regulation of synapse maturation	3
GO:2000522	positive regulation of immunological synapse formation	3
GO:2000547	regulation of dendritic cell dendrite assembly	3
GO:2001199	negative regulation of dendritic cell differentiation	3
