task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1452	a4/a35324	52138854	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:58:31.410	5m	4m 21s	1318.6%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1440	a4/353ba9	52138605	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:42:46.493	5m 14s	4m 38s	1307.6%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1444	c2/0a5461	52138507	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:39:01.495	4m 44s	4m 22s	1317.7%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1460	52/c1bcaa	52138861	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:58:32.932	6m 13s	5m 40s	1300.2%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1457	ae/db350d	52138859	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:58:32.557	5m 43s	5m 8s	1268.8%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1468	46/13a4fa	52138801	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:53:31.069	5m	4m 29s	1281.9%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1470	a4/9ce233	52138803	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:53:31.265	5m	4m 20s	1307.9%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1433	1d/b35bdb	52138756	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:50:01.235	5m	4m 50s	1161.9%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1479	93/1d0383	52137872	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:00:09.590	7m 14s	6m 27s	941.5%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1451	c0/13a985	52138714	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:48:16.260	5m 15s	4m 24s	1316.2%	20.1 GB	79.8 GB	19.3 GB	7.8 GB
