gene_name	mch_logfc	k119ub_fold	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	mecp2_direction
Sgpp2	-0.214770990369059	0.496112077	-0.073760379	0.744384822	0.744384822	1	0	FALSE	No peak
Sh3bgrl2	-0.203802978791458	0.751858954	NA	NA	NA	NA	NA	NA	No peak
Sh3gl2	-0.178830427162403	1.006597545	-0.15167961	0.488720544	4.99e-06	5	4	TRUE	MeCP2 Down
Sh3tc1	-0.285045796141604	0.381875241	-0.13199659	0.529727796	0.529727796	4	0	FALSE	No peak
Shtn1	-0.229889571118679	0.521478683	-0.076239901	0.739651132	0.739651132	1	0	FALSE	No peak
Siah3	-0.389019561900797	0.327222447	-0.015559713	0.962253987	0.962253987	1	0	FALSE	No peak
Sirpa	-0.507837560964365	0.522846332	0.052263824	0.831327001	0.070092595	7	0	FALSE	No peak
Slc10a7	-0.231166404256818	0.664904284	-0.067571235	0.776074741	0.58527439	2	0	FALSE	No peak
Slc12a6	-0.245413357389227	0.475098169	NA	NA	NA	NA	NA	NA	No peak
Slc12a8	-0.113152341497175	0.4057154	0.021322227	0.944295484	0.632204433	7	0	FALSE	No peak
Slc16a7	-0.20006441394807	0.779249658	NA	NA	NA	NA	NA	NA	No peak
Slc1a1	-0.355209247524787	0.462891615	NA	NA	NA	NA	NA	NA	No peak
Slc22a23	-0.259058771209364	0.26790306	-0.015829228	0.961771032	0.135314149	7	0	FALSE	No peak
Slc25a15	-0.342802018413899	0.676335859	NA	NA	NA	NA	NA	NA	No peak
Slc25a36	-0.366367529090088	0.678207617	-0.068572333	0.767627701	0.741120236	2	0	FALSE	No peak
Slc2a13	-0.148932171811517	0.311582752	-0.018551809	0.95316171	0.230192712	3	0	FALSE	No peak
Slc2a9	-0.187417412156009	0.31837042	-0.116720201	0.583605112	0.583605112	3	0	FALSE	No peak
Slc30a5	-0.41835252284883	0.555426054	-0.092420135	0.666337141	1.93e-19	4	1	TRUE	MeCP2 Down
Slc35a3	-0.29956174169292	0.77306676	-0.02293886	0.939615702	0.939615702	1	0	FALSE	No peak
Slc38a1	-0.229862891570182	0.301272571	-0.127092376	0.558802608	0.558802608	1	0	FALSE	No peak
Slc38a6	-0.218641247630431	0.717204625	-0.074963239	0.749816316	0.749816316	1	0	FALSE	No peak
Slc39a10	-0.322452974885493	0.635804258	-0.072527941	0.750729809	0.750729809	1	0	FALSE	No peak
Slc39a11	-0.241131907717872	0.313657269	0.064171569	0.774730489	0.453959212	9	0	FALSE	No peak
Slc39a14	-0.308481399189576	0.509407325	-0.068789665	0.770689037	0.770689037	1	0	FALSE	No peak
Slc41a3	-0.221857550954909	0.369160477	0.059574684	0.801461478	0.801461478	1	0	FALSE	No peak
Slc44a5	-0.160371134946263	0.444042321	-0.131113267	0.527424296	0.527424296	3	0	FALSE	No peak
Slc49a4	-0.327941044747084	0.773416398	-0.100151706	0.642745618	0.642745618	1	0	FALSE	No peak
Slc4a10	-0.209072291376325	0.7382015	-0.018497747	0.952996801	0.826076124	2	0	FALSE	No peak
Slc4a2	-0.369657486447934	0.381928184	-0.004825399	0.99052884	0.99052884	1	0	FALSE	No peak
Slc4a5	-0.194564372470383	0.344892735	0.036657501	0.89100145	0.89100145	2	0	FALSE	No peak
Slc4a7	-0.21855679545814	0.471252083	-0.044300392	0.868679247	0.868679247	1	0	FALSE	No peak
Slc66a2	-0.395588823448365	0.312902995	-0.093406745	0.679173375	0.679173375	4	0	FALSE	No peak
Slc7a14	-0.289099299047902	0.558646524	-0.049780354	0.842880738	0.842880738	2	0	FALSE	No peak
Slc8a1	-0.0658329639507522	0.434540498	0.11784402	0.590570006	0.001286586	18	1	TRUE	MeCP2 Up
Slc9a9	-0.15929367493112	0.705150302	-0.512117644	0.051356152	1.88e-10	8	1	TRUE	MeCP2 Down
Slco2b1	-0.135953013550349	0.210030213	-0.17708533	0.372114577	0.08827884	3	0	FALSE	No peak
Smarca2	-0.22902846724062	0.629992607	0.060257248	0.801290831	0.012201869	5	1	TRUE	MeCP2 Up
Smarcal1	-0.312304777257538	0.297655423	-0.041752931	0.873622531	0.873622531	2	0	FALSE	No peak
Smim14	-0.18928070122612	0.439019189	-0.102423631	0.634700232	0.634700232	1	0	FALSE	No peak
