"mecp2_Fold","mecp2_FDR","h2a_Fold","h2a_FDR","overlap_frac_mecp2","overlap_frac_h2a","sig","quadrant"
0.005638745,0.988762997,0.462288244,0.002143048,1,0.539895923677363,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.196538609,0.397241428,-0.251743324,0.099231391,1,0.613201320132013,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.124562041,0.557542475,0.07096273,0.652413673,0.727112676056338,0.672273467173087,"Not significant","Q2 (MeCP2 down / H2A up)"
1.575358363,0.001862423,1.117784556,1.19e-08,1,0.712811693895099,"Significant","Q1 (MeCP2 up / H2A up)"
-0.005592256,0.988905712,0.249812513,0.067155526,1,0.781897491821156,"Not significant","Q2 (MeCP2 down / H2A up)"
0.078063458,0.734696975,0.085317676,0.63125331,1,0.633071816535908,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.092440993,0.671247705,0.128502188,0.447986281,0.979966611018364,0.906563706563707,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.026919042,0.926947691,-0.00655982,0.97137093,1,0.579887876664331,"Not significant","Q3 (MeCP2 down / H2A down)"
0.019123867,0.951415639,0.061282946,0.692636079,1,0.718384697130712,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.126291731,0.55748222,0.068329523,0.687211152,1,0.573543457497612,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.182143131,0.391600717,0.30894562,0.011760081,1,0.85215221459763,"Not significant","Q2 (MeCP2 down / H2A up)"
0.124239686,0.557501244,0.668104647,1.72e-05,1,0.663558106169297,"Not significant","Q1 (MeCP2 up / H2A up)"
0.000614254,0.998655595,-0.421519167,0.002503885,1,0.525662251655629,"Not significant","Q4 (MeCP2 up / H2A down)"
-0.229860215,0.284529388,-0.098634476,0.416627062,1,0.694169960474308,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.425959131,0.091030737,-0.158952919,0.203584728,1,0.621409921671018,"Not significant","Q3 (MeCP2 down / H2A down)"
1.800703418,7.89e-07,2.036213506,1.41e-33,1,0.730168644597127,"Significant","Q1 (MeCP2 up / H2A up)"
0.000940262,0.99792881,-0.062724211,0.699819071,1,0.68389224848818,"Not significant","Q4 (MeCP2 up / H2A down)"
0.008679509,0.98121345,-0.090688765,0.534944699,1,0.553756185335133,"Not significant","Q4 (MeCP2 up / H2A down)"
-0.020299533,0.948499981,0.241304712,0.019197376,1,0.514417942328231,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.001090034,0.997709695,0.27695996,0.047629296,1,0.708656330749354,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.166965973,0.409961476,-0.183641102,0.236254919,0.684285714285714,0.988648090815273,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.269417237,0.218872616,-0.193085352,0.188385326,1,0.514009661835749,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.057163981,0.814250928,0.17846133,0.48866871,0.965184788430637,0.905527638190955,"Not significant","Q2 (MeCP2 down / H2A up)"
0.386618385,0.144597995,0.687284043,1.84e-08,0.761593016912166,0.567018683996751,"Not significant","Q1 (MeCP2 up / H2A up)"
0.013863766,0.966811221,0.06984759,0.701342489,0.776392352452203,0.766201804757998,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.057945921,0.808785103,0.49245903,0.00112016,0.7835,0.851630434782609,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.084234761,0.699120768,-0.133815686,0.472272226,1,0.673637515842839,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.144553557,0.500756696,0.146609904,0.265608558,1,0.815751445086705,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.07590356,0.744983067,-0.444572974,0.004125704,1,0.564928909952607,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.008774124,0.980882484,-0.081168583,0.633347071,1,0.66490765171504,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.012734741,0.969963127,-0.10423614,0.497333227,1,0.695084819486733,"Not significant","Q3 (MeCP2 down / H2A down)"
0.00794763,0.98328116,0.87422327,3.41e-10,0.835176408636124,0.74811320754717,"Not significant","Q1 (MeCP2 up / H2A up)"
0.054067166,0.824945379,0.624943677,1.95e-06,1,0.579030976965846,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.05190383,0.839340166,-0.145725608,0.321165198,1,0.822184589331075,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.10532579,0.630840332,-0.277700634,0.133959834,1,0.665701881331404,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.075706618,0.737470526,-0.303306054,0.086897105,1,0.934088568486097,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.056198274,0.817617544,-0.382435608,0.017773755,1,0.604286461055933,"Not significant","Q3 (MeCP2 down / H2A down)"
0.034962345,0.898326666,0.140436327,0.372418071,1,0.70159151193634,"Not significant","Q1 (MeCP2 up / H2A up)"
0.273143921,0.197546596,0.337879124,0.009847042,1,0.782720825274017,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.064801582,0.784675666,0.403380102,0.003166717,0.704493087557604,0.614881850175968,"Not significant","Q2 (MeCP2 down / H2A up)"
0.194613475,0.387716062,0.685951455,1.2e-08,1,0.577200577200577,"Not significant","Q1 (MeCP2 up / H2A up)"
0.020413343,0.947716751,0.063921652,0.831596363,1,0.897590361445783,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.004729228,0.990697754,0.157852618,0.265537136,1,0.890930646117368,"Not significant","Q2 (MeCP2 down / H2A up)"
0.331439027,0.154073741,0.438120788,0.002052745,1,0.689302325581395,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.07692526,0.734033979,0.6486744,3.17e-09,1,0.711111111111111,"Not significant","Q2 (MeCP2 down / H2A up)"
0.201987877,0.351792468,1.154728978,4.48e-19,1,0.812677388836329,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.089395586,0.706847329,0.754026458,6.22e-06,0.643387815750372,0.531941031941032,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.225850071,0.298262957,0.138838356,0.317739841,1,0.763815789473684,"Not significant","Q2 (MeCP2 down / H2A up)"
0.185796987,0.35609836,0.690854194,3.02e-07,0.551282051282051,0.812127236580517,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.174300545,0.383793174,0.094951323,0.503227913,1,0.733578560168156,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.032850637,0.905226558,0.000665773,0.995814519,1,0.820750347383048,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.021601475,0.944806516,0.355080182,0.005399322,1,0.563061667183142,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.003490407,0.992971455,0.089019327,0.771963391,1,0.698507462686567,"Not significant","Q2 (MeCP2 down / H2A up)"
0.007086675,0.985297252,0.419178943,0.000373215,1,0.608632040965618,"Not significant","Q1 (MeCP2 up / H2A up)"
0.00237503,0.995270866,0.214059302,0.213348381,1,0.525139664804469,"Not significant","Q1 (MeCP2 up / H2A up)"
0.275704499,0.207980187,0.615974342,5.36e-05,1,0.779354207436399,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.214001542,0.31080668,-0.567929243,5.79e-06,1,0.526998491704374,"Not significant","Q3 (MeCP2 down / H2A down)"
0.067011797,0.773089926,0.611558027,5.54e-06,1,0.798812175204157,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.143288591,0.502091468,0.015574817,0.927917709,1,0.838709677419355,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.065353754,0.778820389,-0.018242308,0.924523435,1,0.523886902827429,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.117780837,0.574373571,-0.352325128,0.002055557,1,0.577223669519911,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.200416744,0.338710786,-0.458463721,9.93e-05,1,0.757589089309283,"Not significant","Q3 (MeCP2 down / H2A down)"
0.018664268,0.952139442,0.024359841,0.852501371,1,0.641136991709435,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.086364194,0.699133771,0.711407669,6.68e-07,1,0.602158828064765,"Not significant","Q2 (MeCP2 down / H2A up)"
0.055635535,0.823821996,0.232674969,0.209766381,0.698919197117859,0.781807714450201,"Not significant","Q1 (MeCP2 up / H2A up)"
0.019029476,0.95108675,0.091575431,0.509333544,1,0.68901303538175,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.129516536,0.564712928,-0.125865761,0.462927246,1,0.788548241659152,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.071659197,0.753605124,0.361713195,0.008546011,1,0.724676483712628,"Not significant","Q2 (MeCP2 down / H2A up)"
0.190642506,0.36925909,0.506894333,0.003502767,0.626236335242061,0.922546012269939,"Not significant","Q1 (MeCP2 up / H2A up)"
0.132390642,0.538769543,0.114928561,0.412863122,1,0.515198752922837,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.04324785,0.869363947,0.471399406,0.002791168,1,0.918013856812933,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.092170329,0.664084816,0.428706442,0.000745201,1,0.56950456950457,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.023090794,0.939142002,0.726198618,2.4e-08,1,0.775868957251298,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.030056244,0.916870131,0.241164284,0.168318331,1,0.719339622641509,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.038367333,0.886575228,0.103509015,0.569824515,1,0.745447187373533,"Not significant","Q2 (MeCP2 down / H2A up)"
0.471611468,0.071676465,0.254245064,0.088340856,0.564981949458484,0.520509977827051,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.033743733,0.904292637,0.143977293,0.231627459,1,0.75396502643351,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.069756102,0.765961817,0.126895596,0.603373246,1,0.597350230414747,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.104757606,0.61132732,-0.237550701,0.1352643,1,0.871350816427511,"Not significant","Q3 (MeCP2 down / H2A down)"
2.598325174,6.33e-11,1.810409027,1.41e-23,1,0.679642629227824,"Significant","Q1 (MeCP2 up / H2A up)"
-0.335494966,0.139614324,-0.158642842,0.345293886,0.705379587732529,0.5612,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.089153609,0.706503411,-0.586495285,7.9e-05,1,0.67440780306549,"Not significant","Q3 (MeCP2 down / H2A down)"
