"peak_id","mecp2_Fold","mecp2_FDR","SYMBOL"
"mecp2_peak_422",-0.039381383,0.885746937,"Aqp12"
"mecp2_peak_423",0.000614254,0.998655595,"Cnih3"
"mecp2_peak_424",-0.089925787,0.682007704,"Agap1"
"mecp2_peak_425",0.147314175,0.482424184,"Lamb3"
"mecp2_peak_426",0.015932007,0.961623197,"Neu2"
"mecp2_peak_427",0.012004627,0.972221597,"Syt14"
"mecp2_peak_428",0.021416736,0.945256411,"Tns1"
"mecp2_peak_429",-0.034592091,0.901844133,"Dars"
"mecp2_peak_430",0.499951535,0.055924903,"Prox1"
"mecp2_peak_431",0.286840868,0.198957498,"Kcnh1"
"mecp2_peak_432",0.054121321,0.82663659,"Fam78b"
"mecp2_peak_435",-0.080384905,0.731937816,"Gpatch2"
"mecp2_peak_438",-0.286537376,0.193790633,"Snorc"
"mecp2_peak_439",-0.229860215,0.284529388,"Stum"
"mecp2_peak_440",-0.425959131,0.091030737,"Dis3l2"
"mecp2_peak_443",-0.232413924,0.303195053,"Myo1b"
"mecp2_peak_444",-0.058074528,0.814535832,"Ddr2"
"mecp2_peak_445",0.000940262,0.99792881,"Rps6kc1"
"mecp2_peak_447",-0.060844519,0.796101744,"Agap1"
"mecp2_peak_448",-0.086313822,0.692254663,"Lmbrd1"
"mecp2_peak_451",-0.077992049,0.732662283,"Spats2l"
"mecp2_peak_453",0.008679509,0.98121345,"Irf6"
"mecp2_peak_457",0.006108507,0.987858258,"Inava"
"mecp2_peak_464",-0.0602871,0.798163764,"Lmx1a"
"mecp2_peak_465",-0.089884528,0.686219366,"Irs1"
"mecp2_peak_468",0.05324621,0.83839153,"Erbb4"
"mecp2_peak_470",-0.166965973,0.409961476,"Kcnh1"
"mecp2_peak_472",0.319139268,0.197330642,"Smyd3"
"mecp2_peak_473",-0.765150719,0.023150978,"Rgs7"
"mecp2_peak_474",-0.023758612,0.937253238,"Farp2"
"mecp2_peak_477",0.017947739,0.955048917,"Dennd1b"
"mecp2_peak_478",0.195444224,0.349336466,"Cdk15"
"mecp2_peak_479",0.576890075,0.030891557,"Rps6kc1"
"mecp2_peak_480",-0.180300226,0.394905602,"Uggt1"
"mecp2_peak_482",-0.047894469,0.850130544,"Gpr161"
"mecp2_peak_484",-0.121737129,0.583694118,"Dock10"
"mecp2_peak_490",-0.049659447,0.84389427,"Rab23"
"mecp2_peak_491",-0.057945921,0.808785103,"B3gat2"
"mecp2_peak_493",-0.00952529,0.978748928,"Atg9a"
"mecp2_peak_493",-0.00952529,0.978748928,"Ankzf1"
"mecp2_peak_494",-0.084234761,0.699120768,"Tns1"
"mecp2_peak_495",-0.046525301,0.859128285,"Epha4"
"mecp2_peak_496",-0.093208823,0.673798744,"Rgs2"
"mecp2_peak_502",0.026864281,0.926275667,"Pbx1"
"mecp2_peak_503",-0.057246227,0.818819468,"Eprs"
"mecp2_peak_504",0.014058579,0.966144969,"Aox3"
"mecp2_peak_505",-0.045814974,0.861387842,"Sdccag8"
"mecp2_peak_506",-0.054564167,0.848184203,"Smyd3"
"mecp2_peak_507",-0.575916756,0.024156394,"Mgat5"
"mecp2_peak_509",-0.202956842,0.355242787,"Plekha6"
"mecp2_peak_510",-0.052295763,0.834138745,"Tgfb2"
"mecp2_peak_513",-0.03927984,0.886141197,"Clasp1"
"mecp2_peak_514",-0.012734741,0.969963127,"Atp2b4"
"mecp2_peak_516",-0.050062871,0.844348775,"Kif26b"
"mecp2_peak_517",0.044405207,0.867819271,"Stum"
"mecp2_peak_519",-0.018839205,0.951958177,"Kcnj10"
"mecp2_peak_520",0.017034289,0.957529394,"Ppox"
"mecp2_peak_520",0.017034289,0.957529394,"Usp21"
"mecp2_peak_521",0.135044581,0.523310488,"Mark1"
"mecp2_peak_522",-0.019050487,0.952405737,"Kcnb2"
"mecp2_peak_524",-0.059912991,0.805727847,"Lmx1a"
"mecp2_peak_525",1.23501776,0.000368245,"Col9a1"
"mecp2_peak_527",-0.143383982,0.487849769,"Igsf8"
"mecp2_peak_527",-0.143383982,0.487849769,"Atp1a2"
"mecp2_peak_530",0.115585368,0.669050765,"Erbb4"
"mecp2_peak_532",0.00794763,0.98328116,"Tmem14a"
"mecp2_peak_534",-0.064436877,0.780129965,"Tnni1"
"mecp2_peak_537",-0.111440095,0.613259125,"Kif26b"
"mecp2_peak_539",-0.10532579,0.630840332,"Itpkb"
"mecp2_peak_540",0.000817892,0.998184183,"Agap1"
"mecp2_peak_542",-0.038951731,0.885168541,"Twist2"
"mecp2_peak_544",-0.112281095,0.585940493,"Pbx1"
"mecp2_peak_548",-0.054779335,0.823397859,"Rgs8"
"mecp2_peak_550",0.034962345,0.898326666,"Stum"
"mecp2_peak_552",1.17973055,0.00041711,"Pms1"
"mecp2_peak_554",-0.141118898,0.51379123,"Khdrbs2"
"mecp2_peak_555",0.955187674,0.001193694,"Eya1"
"mecp2_peak_557",0.032277828,0.906771099,"Npas2"
"mecp2_peak_558",-0.14290785,0.512781139,"Chpf"
"mecp2_peak_560",-0.155266789,0.441591545,"Nyap2"
"mecp2_peak_561",-0.011884645,0.972052707,"Kif1a"
"mecp2_peak_562",0.239229208,0.258597992,"B3gat2"
"mecp2_peak_565",0.020413343,0.947716751,"Zfp142"
"mecp2_peak_565",0.020413343,0.947716751,"Bcs1l"
"mecp2_peak_566",1.427910589,2.9e-05,"Nckap5"
"mecp2_peak_570",-0.017882457,0.954591108,"Ush2a"
"mecp2_peak_571",0.001508965,0.996730357,"Rps6kc1"
"mecp2_peak_572",0.884826532,0.00561736,"Pam"
"mecp2_peak_573",0.461617703,0.062113503,"Mreg"
"mecp2_peak_575",-0.070593599,0.759907704,"Olfr1415"
"mecp2_peak_576",-0.063764859,0.79108664,"Tbc1d8"
"mecp2_peak_580",-0.026286873,0.928634963,"Rps6kc1"
"mecp2_peak_581",-0.038115368,0.888532383,"Vangl2"
"mecp2_peak_582",0.158931691,0.488114717,"Gm973"
"mecp2_peak_583",0.201987877,0.351792468,"Dpp10"
"mecp2_peak_585",-0.089395586,0.706847329,"Rhbdd1"
"mecp2_peak_586",-0.00833295,0.981922041,"1700025G04Rik"
"mecp2_peak_587",1.367531925,1.26e-05,"Thsd7b"
"mecp2_peak_588",-0.08889468,0.69479395,"Zfp451"
"mecp2_peak_589",-0.022567386,0.941308179,"Gli2"
"mecp2_peak_592",1.103202991,0.000396511,"Esrrg"
"mecp2_peak_593",-0.097598503,0.662242889,"Fer1l5"
"mecp2_peak_594",0.13357207,0.612236581,"Erbb4"
"mecp2_peak_597",0.061878909,0.794539204,"4930523C07Rik"
"mecp2_peak_600",-0.102860816,0.629878808,"Gpc1"
"mecp2_peak_601",-0.032850637,0.905226558,"Sctr"
"mecp2_peak_602",-0.047523424,0.850703379,"Aff3"
"mecp2_peak_605",-0.733661619,0.018927463,"Lrrfip1"
"mecp2_peak_608",0.056650627,0.814535832,"Spats2l"
