ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	ranking	is_significant	is_neuronal	n_genes_ranked
GO:0031346	positive regulation of cell projection organization	448	0.71811808494305	1.16094460791974	0.00479635132907389	0.645740352619527	0.641329303751791	1833	tags=15%, list=9%, signal=14%	14348/225523/15572/20393/18844/331461/19283/20257/231225/234267/13193/14182/12805/50791/21844/52906/14265/13640/18213/12801/13405/76965/242274/241514/17118/12064/19266/219103/18189/13837/208727/26563/53404/23965/19762/19242/17755/18845/18760/69601/18186/13838/214459/18708/17700/76089/20356/545156/12808/268902/17096/67784/329278/13508/14362/14025/22359/329421/192167/20354/243725/19876/18024/18039/24001/229320	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0035739	CD4-positive, alpha-beta T cell proliferation	27	-0.845232650114957	-1.65569312691072	0.00492868388971765	0.646542225122961	0.642125698668478	1133	tags=15%, list=5%, signal=14%	16184/16396/65113/108723	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:2000561	regulation of CD4-positive, alpha-beta T cell proliferation	26	-0.848214735654292	-1.64602443165487	0.00520612966345078	0.665863983955355	0.661315470670446	1133	tags=15%, list=5%, signal=15%	16184/16396/65113/108723	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0048525	negative regulation of viral process	99	-0.58174572290445	-1.38145696118895	0.00552498928675449	0.68941085831795	0.684701496461204	2080	tags=19%, list=10%, signal=17%	20128/17002/244183/20846/16149/68713/74488/17195/246729/23825/19720/74522/19824/69550/66597/15364/69807/227753/15977	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0070234	positive regulation of T cell apoptotic process	16	-0.880822677047273	-1.59675039666892	0.00597722462570536	0.720209848409906	0.715290098817871	540	tags=31%, list=3%, signal=30%	60533/20304/21808/66494/12125	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0120305	regulation of pigmentation	16	-0.880309545308741	-1.59582019433831	0.00605336659140461	0.720209848409906	0.715290098817871	435	tags=25%, list=2%, signal=25%	17311/18457/12125/24136	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0006536	glutamate metabolic process	29	0.875684778959879	1.31823893548229	0.0063502066154374	0.721947934323949	0.717016311876405	1476	tags=21%, list=7%, signal=19%	14660/26570/217830/14630/14719/18242	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:1902003	regulation of amyloid-beta formation	37	0.858415912813133	1.31252466510713	0.00621673988347577	0.721947934323949	0.717016311876405	1096	tags=14%, list=5%, signal=13%	19878/20660/216028/13838/233744	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0003198	epithelial to mesenchymal transition involved in endocardial cushion formation	15	-0.88286757044571	-1.57306441072129	0.00655560608168368	0.729097406823776	0.724116946368126	540	tags=20%, list=3%, signal=20%	20583/21808/14179	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0009100	glycoprotein metabolic process	342	0.722313737939407	1.16555558722581	0.0068784529478854	0.748726920880462	0.743612371320108	1982	tags=13%, list=9%, signal=12%	83398/66789/14348/15931/320438/241391/270049/15476/67547/16432/50785/319415/50787/319901/70551/14537/20447/278279/108150/93683/15251/16168/69352/15450/12387/53618/16846/18795/215494/212996/76898/21664/20450/233781/71367/381334/12156/78754/233733/244745/628779/66967/72043/328370/80294	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0048853	forebrain morphogenesis	17	-0.875024391941396	-1.60977193989344	0.00717972650743115	0.765239183583703	0.760011838845837	203	tags=18%, list=1%, signal=17%	238057/14179/18424	MeCP2 fold (median significant)	FALSE	TRUE	21098
GO:0045840	positive regulation of mitotic nuclear division	44	-0.738552204809268	-1.60942077024177	0.0109688624806859	0.773543501717301	0.76825943022703	203	tags=9%, list=1%, signal=9%	59008/14179/16002/17120	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:2000252	negative regulation of feeding behavior	18	-0.856780083112368	-1.59242588176721	0.0118406100168926	0.773543501717301	0.76825943022703	65	tags=11%, list=0%, signal=11%	73668/13983	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0015812	gamma-aminobutyric acid transport	25	-0.828282105175247	-1.58111580375345	0.0113849948903551	0.773543501717301	0.76825943022703	845	tags=16%, list=4%, signal=15%	15551/12286/14411/21366	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0097084	vascular associated smooth muscle cell development	15	-0.865125242697991	-1.54145171446017	0.0126061917369516	0.773543501717301	0.76825943022703	447	tags=20%, list=2%, signal=20%	73181/15205/17130	MeCP2 fold (median significant)	FALSE	FALSE	21098
