"SYMBOL","mecp2_Fold","mecp2_minFDR","mecp2_sig_peaks","n_mecp2_peaks","mecp2_sig","h2a_Fold","h2a_minFDR","h2a_sig_peaks","n_h2a_peaks","h2a_sig","sig","quadrant"
"4921513I03Rik",-0.372564409795995,0.102680734,0,6,FALSE,-0.390513312909824,4.18e-05,6,15,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"4921525O09Rik",-0.124378591997983,0.441570011,0,5,FALSE,-0.36794026410974,0.004151003,1,4,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"4921531C22Rik",-0.039689999,0.882988221,0,1,FALSE,-0.218751645,0.121943318,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"4921531P14Rik",0.752931435187812,0.00120971,1,6,TRUE,0.47815207457773,6.73e-07,3,6,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4921534H16Rik",-0.416513796319897,0.022455131,1,11,TRUE,-0.0319955686082728,0.001599125,1,10,TRUE,"Significant","Q3 (MeCP2 down / H2A down)"
"4930404H11Rik",1.07209367147626,3.74e-07,3,13,TRUE,0.652000048275561,6.79e-08,3,6,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930405A10Rik",0.96232006953215,0.000256684,2,2,TRUE,0.78521560949745,3.63e-15,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930405O22Rik",0.222209711369176,0.008473619,1,22,TRUE,0.561755717545908,2.77e-11,8,16,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930407I19Rik",2.49452813825411,1.76e-21,4,8,TRUE,1.28312675536626,2.98e-18,3,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930412B13Rik",0.140139985,0.514291446,0,1,FALSE,0.685352231426057,3.19e-08,2,2,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930425L21Rik",0.445940219771351,0.000175446,1,17,TRUE,0.460763827240562,8.34e-17,5,11,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930425O10Rik",-0.032417784,0.906473079,0,1,FALSE,0.752587781905078,4.8e-07,1,2,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"4930428E07Rik",1.57935177539987,5.59e-11,11,11,TRUE,0.927815688748689,1.33e-23,14,14,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"4930428O21Rik",-0.024124493,0.937363375,0,1,FALSE,-0.160494312,0.280671815,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"4930429H19Rik",-0.513302987220386,0.033554423,1,3,TRUE,0.130754061886876,0.022210012,1,3,TRUE,"Significant","Q2 (MeCP2 down / H2A up)"
"4930431P22Rik",0.005875306,0.988202729,0,1,FALSE,0.571515439,6.11e-05,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930433B08Rik",0.0466437801315022,0.838871521,0,2,FALSE,0.911404710930659,5.97e-09,3,3,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"4930438E09Rik",-0.446969754206104,0.025567617,1,6,TRUE,-0.19446154539855,0.007484849,3,11,TRUE,"Significant","Q3 (MeCP2 down / H2A down)"
"4930445N18Rik",-0.742241328409483,0.003123029,1,2,TRUE,0.452096084,1.33e-05,1,1,TRUE,"Significant","Q2 (MeCP2 down / H2A up)"
"4930447F24Rik",-0.057974384,0.80927742,0,1,FALSE,-0.556290208,0.000230333,1,1,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"4930447J18Rik",0.109586185,0.585755866,0,1,FALSE,0.533105003580459,0.000126626,2,3,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
